id,brand,product,source,language,review_text,sentiment_label,sentiment_id,sarcastic
1,Samsung,Galaxy S21,tweet,fr,"Galaxy S21 est correct sans plus, rien de spécial à dire.",neutral,1,0
2,Samsung,Galaxy S21,review,fr,"Galaxy S21 est correct sans plus, rien de spécial à dire.",neutral,1,0
3,Samsung,Galaxy S21,tweet,fr,"Galaxy S21 OK, mais je m'attendais à un peu mieux.",neutral,1,0
4,Samsung,Galaxy S21,review,fr,"Galaxy S21 est correct sans plus, rien de spécial à dire.",neutral,1,0
5,Samsung,Galaxy S21,tweet,fr,"Galaxy S21 chauffe tout le temps, impossible de jouer plus de 10 minutes. Meilleure expérience de ma vie, vraiment.",negative,0,1
6,Samsung,Galaxy S21,tweet,fr,"Galaxy S21 c'est une catastrophe, je regrette grave cet achat 😡",negative,0,0
7,Samsung,Galaxy S21,review,fr,"Service client pour Galaxy S21 inexistant, très mauvaise expérience. Franchement génial 🙃",negative,0,1
8,Samsung,Galaxy S21,tweet,fr,"Encore un bug avec Galaxy S21, sérieux Samsung abuse là…",negative,0,0
9,Samsung,Galaxy S21,tweet,fr,Pas encore assez utilisé Galaxy S21 pour donner un vrai avis.,neutral,1,0
10,Samsung,Galaxy S21,review,fr,Pas encore assez utilisé Galaxy S21 pour donner un vrai avis.,neutral,1,0
11,Samsung,Galaxy S21,tweet,fr,"Utilisation basique de Galaxy S21, ça fait ce que ça doit faire.",neutral,1,0
12,Samsung,Galaxy S21,review,fr,"Super, Galaxy S21 qui plante en pleine réunion, merci Samsung 👏",negative,0,0
13,Samsung,Galaxy S21,review,fr,"Super, Galaxy S21 qui plante en pleine réunion, merci Samsung 👏",negative,0,0
14,Samsung,Galaxy S21,review,fr,"Pour le prix, Galaxy S21 fait largement le taf 👍",positive,2,0
15,Samsung,Galaxy S21,review,fr,"Galaxy S21 tient bien la batterie, interface fluide, j'aime bien.",positive,2,0
16,Samsung,Galaxy S21,review,fr,"Franchement Galaxy S21 c'est une dinguerie, rien à dire 😍",positive,2,0
17,Samsung,Galaxy S21,tweet,fr,"Franchement Galaxy S21 c'est une dinguerie, rien à dire 😍",positive,2,0
18,Samsung,Galaxy S21,review,fr,"Samsung a fait un bon boulot avec Galaxy S21, je recommande.",positive,2,0
19,Samsung,Galaxy S21,tweet,fr,"Utilisation basique de Galaxy S21, ça fait ce que ça doit faire.",neutral,1,0
20,Samsung,Galaxy S21,review,fr,"Service client pour Galaxy S21 inexistant, très mauvaise expérience.",negative,0,0
21,Samsung,Galaxy S21,review,fr,"Galaxy S21 c'est une catastrophe, je regrette grave cet achat 😡 Non vraiment, continuez comme ça…",negative,0,1
22,Samsung,Galaxy S21,tweet,fr,"Reçu Galaxy S21, conforme à la description.",neutral,1,0
23,Samsung,Galaxy S21,review,fr,"Pour le prix, Galaxy S21 fait largement le taf 👍",positive,2,0
24,Samsung,Galaxy S21,tweet,fr,"Samsung a fait un bon boulot avec Galaxy S21, je recommande.",positive,2,0
25,Samsung,Galaxy S21,review,fr,"Très satisfait de Galaxy S21, ça marche super bien.",positive,2,0
